"","Source","Fluency_Readability","Coherence_Logical.Flow","Lexical_Syntactic","Judge"
"84","LLM_New",5,5,5,"A"
"85","LLM_New",4,4,2,"A"
"86","LLM_New",3,5,5,"A"
"87","LLM_New",5,5,2,"A"
"88","LLM_New",5,5,4,"A"
"89","LLM_New",4,4,4,"A"
"90","LLM_New",5,5,5,"A"
"91","LLM_New",5,5,5,"A"
"92","LLM_New",5,5,3,"A"
"93","LLM_New",5,5,5,"A"
"94","LLM_New",4,5,5,"A"
"95","LLM_New",5,5,5,"A"
"96","LLM_New",3,5,4,"A"
"97","LLM_New",5,5,5,"A"
"98","LLM_New",5,4,3,"A"
"99","LLM_New",5,5,5,"A"
"100","LLM_New",5,5,2,"A"
"101","Gold",5,5,5,"A"
"102","Gold",5,5,5,"A"
"103","Gold",5,5,5,"A"
"104","Gold",5,5,5,"A"
"105","Gold",5,5,5,"A"
"106","Gold",5,5,5,"A"
"107","Gold",5,5,5,"A"
"108","Gold",5,5,5,"A"
"109","Gold",5,5,5,"A"
"110","Gold",5,5,5,"A"
"111","Gold",5,5,5,"A"
"112","Gold",5,5,5,"A"
"113","Gold",5,5,5,"A"
"114","Gold",5,5,5,"A"
"115","Gold",5,5,5,"A"
"116","Gold",5,5,5,"A"
"117","Gold",5,5,5,"A"
"118","Gold",5,5,5,"A"
"119","Gold",5,5,5,"A"
"120","Gold",5,4,5,"A"
"121","Gold",5,5,5,"A"
"122","Gold",5,5,5,"A"
"123","Gold",5,5,4,"A"
"124","Gold",5,5,4,"A"
"125","Gold",5,5,5,"A"
"126","Gold",5,5,5,"A"
"127","Gold",5,5,5,"A"
"128","Gold",5,5,5,"A"
"129","Gold",3,3,2,"A"
"130","Gold",5,5,2,"A"
"131","Gold",5,5,5,"A"
"132","Gold",5,5,5,"A"
"133","Gold",4,5,5,"A"
"134","Gold",5,5,5,"A"
"135","Gold",4,4,1,"A"
"136","Gold",5,5,5,"A"
"137","Gold",5,5,5,"A"
"138","Gold",4,5,5,"A"
"139","Gold",5,5,5,"A"
"140","Gold",5,5,5,"A"
"141","Gold",5,5,5,"A"
"142","Gold",5,5,5,"A"
"143","Gold",5,5,5,"A"
"144","Gold",5,5,3,"A"
"145","Gold",5,5,5,"A"
"146","Gold",5,4,5,"A"
"147","Gold",5,5,5,"A"
"148","Gold",5,5,5,"A"
"149","Gold",5,5,5,"A"
"150","Gold",5,5,5,"A"
"151","Student",4,5,5,"A"
"152","Student",5,5,4,"A"
"153","Student",4,5,3,"A"
"154","Student",5,5,3,"A"
"155","Student",3,5,1,"A"
"156","Student",5,5,4,"A"
"157","Student",4,4,4,"A"
"158","Student",4,5,3,"A"
"159","Student",4,4,2,"A"
"160","Student",4,5,3,"A"
"161","Student",4,5,5,"A"
"162","Student",3,4,3,"A"
"163","Student",4,5,5,"A"
"164","Student",2,3,3,"A"
"165","Student",4,4,3,"A"
"166","Student",5,5,5,"A"
"167","Student",4,5,5,"A"
"168","Student",3,3,1,"A"
"169","Student",5,5,3,"A"
"170","Student",4,4,3,"A"
"171","Student",4,4,3,"A"
"172","LLM_Org",5,5,5,"B"
"173","LLM_Org",5,5,5,"B"
"174","LLM_Org",5,5,5,"B"
"175","LLM_Org",5,5,5,"B"
"176","LLM_Org",5,5,5,"B"
"177","LLM_Org",5,5,5,"B"
"178","LLM_Org",5,5,5,"B"
"179","LLM_Org",5,5,5,"B"
"180","LLM_Org",5,5,5,"B"
"181","LLM_Org",5,5,5,"B"
"182","LLM_Org",5,5,5,"B"
"183","LLM_Org",5,5,5,"B"
"184","LLM_Org",4,4,4,"B"
"185","LLM_Org",4,4,4,"B"
"186","LLM_Org",3,3,3,"B"
"187","LLM_Org",5,5,5,"B"
"188","LLM_Org",5,5,5,"B"
"189","LLM_Org",5,5,5,"B"
"190","LLM_Org",5,5,5,"B"
"191","LLM_Org",5,5,5,"B"
"192","LLM_Org",5,5,5,"B"
"193","LLM_Org",5,5,5,"B"
"194","LLM_Org",5,5,5,"B"
"195","LLM_Org",5,5,5,"B"
"196","LLM_Org",5,5,5,"B"
"197","LLM_Org",5,5,5,"B"
"198","LLM_Org",3,3,3,"B"
"199","LLM_Org",5,5,5,"B"
"200","LLM_Org",5,5,5,"B"
"201","LLM_Org",5,5,5,"B"
"202","LLM_Org",5,5,5,"B"
"203","LLM_Org",3,4,4,"B"
"204","LLM_Org",5,5,5,"B"
"205","LLM_Org",5,5,5,"B"
"206","LLM_Org",5,5,5,"B"
"207","LLM_Org",5,5,5,"B"
"208","LLM_Org",4,4,4,"B"
"209","LLM_Org",4,4,4,"B"
"210","LLM_Org",5,5,5,"B"
"211","LLM_Org",5,5,5,"B"
"212","LLM_Org",5,5,5,"B"
"213","LLM_Org",5,5,5,"B"
"214","LLM_Org",5,5,5,"B"
"215","LLM_Org",5,5,5,"B"
"216","LLM_Org",5,5,5,"B"
"217","LLM_Org",5,5,5,"B"
"218","LLM_Org",5,5,5,"B"
"219","LLM_Org",5,5,5,"B"
"220","LLM_Org",5,5,5,"B"
"221","LLM_Org",5,5,5,"B"
"222","LLM_New",5,5,5,"B"
"223","LLM_New",5,5,5,"B"
"224","LLM_New",5,5,5,"B"
"225","LLM_New",5,5,5,"B"
"226","LLM_New",5,5,5,"B"
"227","LLM_New",5,5,5,"B"
"228","LLM_New",5,5,5,"B"
"229","LLM_New",3,3,4,"B"
"230","LLM_New",3,3,4,"B"
"231","LLM_New",5,5,4,"B"
"232","LLM_New",5,5,4,"B"
"233","LLM_New",5,5,5,"B"
"234","LLM_New",5,5,5,"B"
"235","LLM_New",5,5,4,"B"
"236","LLM_New",5,5,5,"B"
"237","LLM_New",5,5,5,"B"
"238","LLM_New",5,5,5,"B"
"239","LLM_New",5,5,5,"B"
"240","LLM_New",5,5,5,"B"
"241","LLM_New",5,5,5,"B"
"242","LLM_New",5,5,5,"B"
"243","LLM_New",5,5,5,"B"
"244","LLM_New",5,5,5,"B"
"245","LLM_New",5,5,5,"B"
"246","LLM_New",5,5,5,"B"
"247","LLM_New",4,4,4,"B"
"248","LLM_New",5,5,5,"B"
"249","LLM_New",5,5,5,"B"
"250","LLM_New",5,5,5,"B"
"251","LLM_New",4,4,4,"B"
"252","LLM_New",5,5,5,"B"
"253","LLM_New",5,5,5,"B"
"254","LLM_New",3,3,4,"B"
"255","LLM_New",5,5,5,"B"
"256","LLM_New",5,5,5,"B"
"257","LLM_New",5,5,5,"B"
"258","LLM_New",5,5,5,"B"
"259","LLM_New",5,5,5,"B"
"260","LLM_New",5,5,5,"B"
"261","LLM_New",5,5,5,"B"
"262","LLM_New",4,4,4,"B"
"263","LLM_New",5,5,5,"B"
"264","LLM_New",4,4,4,"B"
"265","LLM_New",5,5,5,"B"
"266","LLM_New",5,5,5,"B"
"267","LLM_New",5,5,5,"B"
"268","LLM_New",5,5,5,"B"
"269","LLM_New",4,4,4,"B"
"270","LLM_New",5,5,5,"B"
"271","LLM_New",5,5,5,"B"
"272","Gold",5,5,5,"B"
"273","Gold",5,5,5,"B"
"274","Gold",5,5,5,"B"
"275","Gold",5,5,5,"B"
"276","Gold",4,4,4,"B"
"277","Gold",5,5,5,"B"
"278","Gold",5,5,5,"B"
"279","Gold",4,4,4,"B"
"280","Gold",4,4,4,"B"
"281","Gold",3,3,4,"B"
"282","Gold",5,5,5,"B"
"283","Gold",5,5,5,"B"
"284","Gold",4,4,4,"B"
"285","Gold",5,5,5,"B"
"286","Gold",5,5,5,"B"
"287","Gold",5,5,5,"B"
"288","Gold",5,5,5,"B"
"289","Gold",5,5,5,"B"
"290","Gold",5,5,5,"B"
"291","Gold",5,5,5,"B"
"292","Gold",5,5,5,"B"
"293","Gold",5,5,5,"B"
"294","Gold",5,5,5,"B"
"295","Gold",5,5,5,"B"
"296","Gold",5,5,5,"B"
"297","Gold",5,5,5,"B"
"298","Gold",5,5,5,"B"
"299","Gold",5,5,5,"B"
"300","Gold",5,5,5,"B"
"301","Gold",3,3,4,"B"
"302","Gold",4,4,4,"B"
"303","Gold",3,3,3,"B"
"304","Gold",4,4,4,"B"
"305","Gold",5,5,5,"B"
"306","Gold",5,5,5,"B"
"307","Gold",5,5,5,"B"
"308","Gold",3,3,4,"B"
"309","Gold",3,3,4,"B"
"310","Gold",4,4,4,"B"
"311","Gold",5,5,5,"B"
"312","Gold",5,5,5,"B"
"313","Gold",5,5,5,"B"
"314","Gold",5,5,5,"B"
"315","Gold",5,5,5,"B"
"316","Gold",5,5,5,"B"
"317","Gold",5,5,5,"B"
"318","Gold",3,3,3,"B"
"319","Gold",3,3,4,"B"
"320","Gold",5,5,5,"B"
"321","Gold",4,4,4,"B"
"322","Student",5,5,5,"B"
"323","Student",5,5,4,"B"
"324","Student",5,5,5,"B"
"325","Student",5,5,5,"B"
"326","Student",5,5,5,"B"
"327","Student",5,5,5,"B"
"328","Student",5,5,5,"B"
"329","Student",5,5,5,"B"
"330","Student",5,5,5,"B"
"331","Student",5,5,5,"B"
"332","Student",5,5,5,"B"
"333","Student",5,5,5,"B"
"334","Student",5,5,5,"B"
"335","Student",5,5,5,"B"
"336","Student",5,5,5,"B"
"337","Student",5,5,5,"B"
"338","Student",5,5,5,"B"
"339","Student",5,5,5,"B"
"340","Student",4,4,4,"B"
"341","Student",4,3,4,"B"
"342","Student",5,5,5,"B"
"343","LLM_Org",4,3,5,"C"
"344","LLM_Org",5,5,5,"C"
"345","LLM_Org",5,5,5,"C"
"346","LLM_Org",4,4,5,"C"
"347","LLM_Org",5,5,5,"C"
"348","LLM_Org",4,3,5,"C"
"349","LLM_Org",5,5,5,"C"
"350","LLM_Org",4,4,5,"C"
"351","LLM_Org",5,5,5,"C"
"352","LLM_Org",5,5,5,"C"
"353","LLM_Org",3,3,3,"C"
"354","LLM_Org",5,5,5,"C"
"355","LLM_Org",5,5,5,"C"
"356","LLM_Org",3,4,4,"C"
"357","LLM_Org",4,5,5,"C"
"358","LLM_Org",5,5,5,"C"
"359","LLM_Org",NA,NA,NA,"C"
"360","LLM_Org",5,5,5,"C"
"361","LLM_Org",5,5,5,"C"
"362","LLM_Org",5,5,5,"C"
"363","LLM_Org",5,5,5,"C"
"364","LLM_Org",5,5,5,"C"
"365","LLM_Org",5,5,5,"C"
"366","LLM_Org",5,5,5,"C"
"367","LLM_Org",5,5,5,"C"
"393","LLM_New",5,5,5,"C"
"394","LLM_New",5,5,5,"C"
"395","LLM_New",5,5,5,"C"
"396","LLM_New",4,4,4,"C"
"397","LLM_New",5,4,4,"C"
"398","LLM_New",5,5,5,"C"
"399","LLM_New",5,5,5,"C"
"400","LLM_New",3,3,3,"C"
"401","LLM_New",4,5,3,"C"
"402","LLM_New",3,3,2,"C"
"403","LLM_New",4,4,3,"C"
"404","LLM_New",4,5,3,"C"
"405","LLM_New",5,2,2,"C"
"406","LLM_New",4,3,3,"C"
"407","LLM_New",5,5,5,"C"
"408","LLM_New",5,5,4,"C"
"409","LLM_New",3,4,4,"C"
"410","LLM_New",5,5,5,"C"
"411","LLM_New",4,4,4,"C"
"412","LLM_New",2,3,3,"C"
"413","LLM_New",5,5,5,"C"
"414","LLM_New",5,5,5,"C"
"415","LLM_New",5,5,5,"C"
"416","LLM_New",5,5,5,"C"
"417","LLM_New",5,5,4,"C"
"443","Gold",5,5,5,"C"
"444","Gold",4,4,4,"C"
"445","Gold",4,4,3,"C"
"446","Gold",4,4,4,"C"
"447","Gold",5,5,5,"C"
"448","Gold",4,5,5,"C"
"449","Gold",2,3,3,"C"
"450","Gold",3,3,3,"C"
"451","Gold",4,4,4,"C"
"452","Gold",2,2,3,"C"
"453","Gold",3,3,3,"C"
"454","Gold",2,3,3,"C"
"455","Gold",2,3,3,"C"
"456","Gold",5,5,5,"C"
"457","Gold",5,5,5,"C"
"458","Gold",4,5,4,"C"
"459","Gold",5,5,5,"C"
"460","Gold",3,5,5,"C"
"461","Gold",3,4,4,"C"
"462","Gold",4,4,5,"C"
"463","Gold",5,5,5,"C"
"464","Gold",2,3,4,"C"
"465","Gold",5,5,5,"C"
"466","Gold",5,5,5,"C"
"467","Gold",5,5,5,"C"
"493","Student",4,4,5,"C"
"494","Student",4,4,4,"C"
"495","Student",3,4,4,"C"
"496","Student",4,4,3,"C"
"497","Student",5,5,5,"C"
"498","Student",5,5,4,"C"
"499","Student",5,5,5,"C"
"500","Student",5,5,5,"C"
"501","Student",5,5,5,"C"
"502","Student",5,5,5,"C"
"539","LLM_Org",5,5,5,"D"
"540","LLM_Org",5,5,5,"D"
"541","LLM_Org",5,5,5,"D"
"542","LLM_Org",5,5,5,"D"
"543","LLM_Org",5,5,5,"D"
"544","LLM_Org",5,5,5,"D"
"545","LLM_Org",5,5,5,"D"
"546","LLM_Org",5,5,5,"D"
"547","LLM_Org",5,5,5,"D"
"548","LLM_Org",5,5,5,"D"
"549","LLM_Org",5,5,5,"D"
"550","LLM_Org",5,5,5,"D"
"551","LLM_Org",5,5,5,"D"
"552","LLM_Org",5,5,5,"D"
"553","LLM_Org",5,5,5,"D"
"554","LLM_Org",5,5,5,"D"
"555","LLM_Org",5,5,5,"D"
"556","LLM_Org",NA,NA,NA,"D"
"557","LLM_Org",5,5,5,"D"
"558","LLM_Org",5,5,5,"D"
"559","LLM_Org",5,5,5,"D"
"560","LLM_Org",5,5,5,"D"
"561","LLM_Org",5,5,5,"D"
"562","LLM_Org",5,5,5,"D"
"563","LLM_Org",5,5,5,"D"
"589","LLM_New",5,5,5,"D"
"590","LLM_New",5,5,5,"D"
"591","LLM_New",5,5,5,"D"
"592","LLM_New",5,5,5,"D"
"593","LLM_New",5,5,5,"D"
"594","LLM_New",5,5,5,"D"
"595","LLM_New",5,5,5,"D"
"596","LLM_New",5,5,5,"D"
"597","LLM_New",5,5,5,"D"
"598","LLM_New",5,5,5,"D"
"599","LLM_New",5,5,5,"D"
"600","LLM_New",5,5,5,"D"
"601","LLM_New",5,5,5,"D"
"602","LLM_New",5,5,5,"D"
"603","LLM_New",5,5,5,"D"
"604","LLM_New",5,5,5,"D"
"605","LLM_New",5,5,5,"D"
"606","LLM_New",5,5,5,"D"
"607","LLM_New",5,5,5,"D"
"608","LLM_New",5,5,5,"D"
"609","LLM_New",5,5,5,"D"
"610","LLM_New",5,5,5,"D"
"611","LLM_New",5,5,5,"D"
"612","LLM_New",5,5,5,"D"
"613","LLM_New",5,5,5,"D"
"639","Gold",5,5,5,"D"
"640","Gold",5,5,5,"D"
"641","Gold",5,5,5,"D"
"642","Gold",5,5,4,"D"
"643","Gold",5,5,5,"D"
"644","Gold",4,4,4,"D"
"645","Gold",4,4,4,"D"
"646","Gold",3,4,5,"D"
"647","Gold",5,5,5,"D"
"648","Gold",5,3,3,"D"
"649","Gold",5,5,5,"D"
"650","Gold",5,5,5,"D"
"651","Gold",3,4,5,"D"
"652","Gold",4,4,4,"D"
"653","Gold",5,5,5,"D"
"654","Gold",5,5,4,"D"
"655","Gold",3,3,5,"D"
"656","Gold",5,5,5,"D"
"657","Gold",2,3,4,"D"
"658","Gold",5,5,5,"D"
"659","Gold",5,5,5,"D"
"660","Gold",4,4,4,"D"
"661","Gold",5,5,5,"D"
"662","Gold",5,5,5,"D"
"663","Gold",5,5,5,"D"
"674","Student",5,5,5,"D"
"675","Student",5,5,5,"D"
"676","Student",5,5,5,"D"
"677","Student",5,5,5,"D"
"678","Student",5,5,5,"D"
"679","Student",5,5,5,"D"
"680","Student",5,5,5,"D"
"681","Student",4,4,4,"D"
"682","Student",5,5,5,"D"
"683","Student",5,5,5,"D"
"684","Student",5,5,5,"D"
"710","LLM_Org",5,4,5,"E"
"711","LLM_Org",4,5,4,"E"
"712","LLM_Org",5,5,5,"E"
"713","LLM_Org",4,4,3,"E"
"714","LLM_Org",5,5,4,"E"
"715","LLM_Org",5,5,5,"E"
"716","LLM_Org",4,4,5,"E"
"717","LLM_Org",4,4,3,"E"
"718","LLM_Org",5,5,4,"E"
"719","LLM_Org",5,5,5,"E"
"720","LLM_Org",4,4,4,"E"
"721","LLM_Org",4,5,5,"E"
"722","LLM_Org",4,3,3,"E"
"723","LLM_Org",5,5,5,"E"
"724","LLM_Org",4,4,3,"E"
"725","LLM_Org",5,5,5,"E"
"726","LLM_Org",4,5,5,"E"
"727","LLM_Org",5,5,5,"E"
"728","LLM_Org",3,4,4,"E"
"729","LLM_Org",5,5,4,"E"
"730","LLM_Org",4,4,5,"E"
"731","LLM_Org",5,5,5,"E"
"732","LLM_Org",5,5,5,"E"
"733","LLM_Org",5,5,5,"E"
"734","LLM_Org",5,5,5,"E"
"760","LLM_New",3,3,5,"E"
"761","LLM_New",5,5,5,"E"
"762","LLM_New",5,5,3,"E"
"763","LLM_New",5,5,5,"E"
"764","LLM_New",4,3,4,"E"
"765","LLM_New",3,4,4,"E"
"766","LLM_New",5,5,5,"E"
"767","LLM_New",3,4,4,"E"
"768","LLM_New",5,5,5,"E"
"769","LLM_New",4,5,4,"E"
"770","LLM_New",5,5,5,"E"
"771","LLM_New",4,5,5,"E"
"772","LLM_New",4,4,3,"E"
"773","LLM_New",5,5,5,"E"
"774","LLM_New",5,4,4,"E"
"775","LLM_New",5,5,5,"E"
"776","LLM_New",3,4,3,"E"
"777","LLM_New",5,4,5,"E"
"778","LLM_New",5,4,5,"E"
"779","LLM_New",5,5,5,"E"
"780","LLM_New",4,4,5,"E"
"781","LLM_New",4,5,4,"E"
"782","LLM_New",4,5,5,"E"
"783","LLM_New",5,5,5,"E"
"784","LLM_New",5,5,5,"E"
"810","Gold",4,5,5,"E"
"811","Gold",4,5,4,"E"
"812","Gold",5,5,5,"E"
"813","Gold",3,4,3,"E"
"814","Gold",4,4,4,"E"
"815","Gold",3,3,4,"E"
"816","Gold",3,4,4,"E"
"817","Gold",4,5,4,"E"
"818","Gold",4,5,5,"E"
"819","Gold",4,3,4,"E"
"820","Gold",5,5,5,"E"
"821","Gold",3,3,3,"E"
"822","Gold",4,5,4,"E"
"823","Gold",4,5,5,"E"
"824","Gold",5,5,5,"E"
"825","Gold",5,4,4,"E"
"826","Gold",4,3,2,"E"
"827","Gold",5,5,5,"E"
"828","Gold",5,5,5,"E"
"829","Gold",4,3,3,"E"
"830","Gold",4,4,5,"E"
"831","Gold",4,4,4,"E"
"832","Gold",3,3,3,"E"
"833","Gold",5,5,5,"E"
"834","Gold",5,5,5,"E"
"845","Student",5,5,4,"E"
"846","Student",4,5,3,"E"
"847","Student",4,3,5,"E"
"848","Student",5,5,5,"E"
"849","Student",3,3,2,"E"
"850","Student",5,5,5,"E"
"851","Student",4,4,4,"E"
"852","Student",3,4,5,"E"
"853","Student",4,4,3,"E"
"854","Student",4,4,5,"E"
"855","Student",3,4,5,"E"
